Name;Hours without subtasks;Hours with subtasks
                    Analyza Jul 2016;-;51m 7s
                         Export udajov - cely mesiac;51m 7s;51m 7s
                    Analyza Jun 2016;-;47m 8s
                         Export udajov - cely mesiac;47m 8s;47m 8s
               Production;-;21h 5m
                    VDV;-;12h 56m
                         Konfiguracia VDV / Marek skolenie;3h 56m;7h 49m
                              WL txt to VDV db;43m 43s;2h 28m
                                   Modifikacia udajov;1h 45m;1h 45m
                              Uprava WL a Sensor txt suborov;1h 24m;1h 24m
                         Vytvorenie Dashboard;1h 37m;1h 37m
                         Nastavenie konta;1h 26m;1h 26m
                         Virtual variables;1h 20m;1h 20m
                         Alert a Warning nastavenia;43m 14s;43m 14s
                    Konficguracia Sentinel;7h 41m;7h 41m
                    Instalacia S-line Sentinel;16m 40s;16m 40s
                    Modem interrogatora + check merania;11m 6s;11m 6s
               Maintenance;-;16h 15m
                    Vyjazd na Podbiel;8h 11m;8h 11m
                    Kontrola Spectrum na S-Line Scan;5h 37m;5h 37m
                    Priprava na vyjazd;1h 19m;1h 19m
                    Restart pocitaca;44m 25s;44m 25s
                    Diskusia - Jaro;24m;24m
               Design;-;10h 25m
                    Debrecen - instalacna skrina;10h 15m;10h 15m
                    Diskusia - Jaro - regulacia napatia;10m;10m
               General;-;1h 9m
                    Meeting - Tomas / Synak;59m;59m
                    skenovanie;10m 57s;10m 57s
     Misc;-;3h 6m
          Analyza nakladov;1h 57m;3h 6m
               Talk - Peto;58m;58m
               Mail;11m 1s;11m 1s
Studium;-;92h 31m
     Microsoft Project;-;29h 2m
          Lynda.com - skolenie;23h 55m;23h 55m
          Lynda.com - Managing Project Risk;5h 6m;5h 6m
     Nove publikacie;5h 17m;19h 54m
          Bridge monitoring;8h 39m;8h 39m
          Search;5h 18m;5h 18m
          Fiber optic borehole seismic vector;39m 2s;39m 2s
     HBM Webinar;2h 17m;10h 28m
          Experimental stress analysis;3h 33m;3h 33m
          Studium - HBM dokument - Tunnel;1h 41m;1h 41m
          Optical sensing webinar;53m 1s;53m 1s
          Fatigue life testing;51m 35s;51m 35s
          Force measurement;39m;39m
          Optical interrogator;32m 28s;32m 28s
     Monitorovanie mostov;8h 14m;8h 14m
     research - konkurencia;3h 4m;6h 27m
          Smartec;-;1h 49m
               Porovnanie SOFO lite vs. Scan 400;1h 49m;1h 49m
          Fiber optic firmy;1h 4m;1h 4m
          Measurand - ShapeAccelArray;29m;29m
     Lynda.com - Linux kurzy;5h 5m;5h 5m
